run_id,velocity_ms,aoa_deg,reynolds_number,Cl,Cd,Cp,wall_shear_stress,converged
1,10,-5,684587.0124,0.098985947,0.005914771,-0.20510379,0.28187758,TRUE
2,10,-2.222222222,684587.0124,0.16579783,0.008699578,-0.20947622,0.28577629,TRUE
3,10,0.555555556,684587.0124,0.23191772,0.01572176,-0.21374934,0.28863485,TRUE
4,10,3.333333333,684587.0124,0.29718011,0.026855849,-0.21813807,0.28935182,TRUE
5,10,6.111111111,684587.0124,0.36146531,0.041996519,-0.22265442,0.2885096,TRUE
6,10,8.888888889,684587.0124,0.42538034,0.061089794,-0.22712587,0.28644621,TRUE
7,10,11.66666667,684587.0124,0.49164844,0.084486879,-0.23123157,0.28396735,TRUE
8,10,14.44444444,684587.0124,0.56709071,0.11337573,-0.23367209,0.27888516,TRUE
9,10,17.22222222,684587.0124,0.65400573,0.14879797,-0.24232955,0.27296455,TRUE
10,10,20,684587.0124,0.72889423,0.18655195,-0.2590611,0.26497138,TRUE
11,20,-5,1369174.025,0.10446934,0.004252227,-0.20450307,1.0108984,TRUE
12,20,-2.222222222,1369174.025,0.17238018,0.007211172,-0.20902303,1.0249026,TRUE
13,20,0.555555556,1369174.025,0.23934315,0.014478405,-0.21349853,1.0342348,TRUE
14,20,3.333333333,1369174.025,0.30524756,0.025917888,-0.21811627,1.0378987,TRUE
15,20,6.111111111,1369174.025,0.37041038,0.041405687,-0.22291785,1.0350493,TRUE
16,20,8.888888889,1369174.025,0.43520425,0.0608978,-0.22774018,1.0272373,TRUE
17,20,11.66666667,1369174.025,0.5022781,0.084737753,-0.2322207,1.0165581,TRUE
18,20,14.44444444,1369174.025,0.5787774,0.11415032,-0.23435813,0.99800295,TRUE
19,20,17.22222222,1369174.025,0.67041631,0.15080107,-0.23855323,0.97492103,TRUE
20,20,20,1369174.025,0.74856586,0.18976194,-0.25144269,0.9451805,TRUE
21,30,-5,2053761.037,0.10706394,0.003396371,-0.2042769,2.1307565,TRUE
22,30,-2.222222222,2053761.037,0.17555262,0.006433094,-0.20886455,2.1613134,TRUE
23,30,0.555555556,2053761.037,0.243497,0.013831559,-0.21344239,2.1818107,TRUE
24,30,3.333333333,2053761.037,0.30977958,0.025435431,-0.2181906,2.1892041,TRUE
25,30,6.111111111,2053761.037,0.37520872,0.041098484,-0.22314065,2.1819818,TRUE
26,30,8.888888889,2053761.037,0.44045163,0.06080463,-0.22814998,2.1658582,TRUE
27,30,11.66666667,2053761.037,0.50788743,0.084869567,-0.23283347,2.1408357,TRUE
28,30,14.44444444,2053761.037,0.58474097,0.11452037,-0.23493409,2.0995015,TRUE
29,30,17.22222222,2053761.037,0.67884428,0.15182837,-0.23667936,2.049177,TRUE
30,30,20,2053761.037,0.75838537,0.19133938,-0.24748258,1.9849949,TRUE
31,40,-5,2738348.05,0.10882678,0.002829073,-0.20414764,3.6176653,TRUE
32,40,-2.222222222,2738348.05,0.17748371,0.00592713,-0.20878599,3.6693003,TRUE
33,40,0.555555556,2738348.05,0.24562092,0.013398534,-0.21342498,3.7036497,TRUE
34,40,3.333333333,2738348.05,0.3127348,0.025115232,-0.21826545,3.7159466,TRUE
35,40,6.111111111,2738348.05,0.37838004,0.040900774,-0.22331013,3.7047737,TRUE
36,40,8.888888889,2738348.05,0.4438455,0.060740513,-0.22843695,3.6770414,TRUE
37,40,11.66666667,2738348.05,0.51158331,0.084967085,-0.23326567,3.6348744,TRUE
38,40,14.44444444,2738348.05,0.58862222,0.11476764,-0.23539673,3.5631094,TRUE
39,40,17.22222222,2738348.05,0.68417978,0.1524698,-0.23555689,3.4774212,TRUE
40,40,20,2738348.05,0.76472846,0.19235747,-0.2450686,3.3657509,TRUE
41,50,-5,3422935.062,0.11001716,0.002429522,-0.20406949,5.4570582,TRUE
42,50,-2.222222222,3422935.062,0.17892241,0.005564853,-0.20873828,5.5359226,TRUE
43,50,0.555555556,3422935.062,0.24715457,0.013084384,-0.21342214,5.5849404,TRUE
44,50,3.333333333,3422935.062,0.31465561,0.024875408,-0.21832317,5.6051776,TRUE
45,50,6.111111111,3422935.062,0.38063234,0.040755372,-0.2234437,5.5893225,TRUE
46,50,8.888888889,3422935.062,0.44629021,0.060693171,-0.22865804,5.5484117,TRUE
47,50,11.66666667,3422935.062,0.51422339,0.085033418,-0.23359063,5.4857517,TRUE
48,50,14.44444444,3422935.062,0.59138221,0.11494028,-0.23575966,5.3757623,TRUE
49,50,17.22222222,3422935.062,0.68787478,0.1529054,-0.23474399,5.2464563,TRUE
50,50,20,3422935.062,0.76915746,0.19306703,-0.24332112,5.0725689,TRUE
